Cycle,Chg_Spec_mAhg,DChg_Spec_mAhg,Chg_Cap_Ah,DChg_Cap_Ah,Chg_Energy_Wh,DChg_Energy_Wh,CE,IR_proxy,HF_CHG_SPEC_HIGH,HF_DCHG_SPEC_LOW,HF_MISSING,hard_fail,soft_score,SP_IR_OUTLIER,SP_CE_SOFT,IR_proxy_threshold,Label,charge_V_end,take_off_V_end,hover_V_end,cruise_V_end,landing_V_end,standby_V_end,standby_t_end_h,landing_V_rel_global,cycle_label_3class,cycle_label_3name,battery_label_3class,battery_label_3name,file,early1_missing,early1_V_mean,early1_V_min,early1_V_sag,early1_V_sag_ratio,early1_dvdt_mean,early1_dvdt_std,early1_I_mean,early1_I_std,early1_IR_early,early1_power_mean,early1_power_std,early1_energy_ws,early1_energy_per_I,early1_voltage_collapse_flag,early1_IR_high_flag,early1_dvdt_fluct_flag,early2_missing,early2_V_mean,early2_V_min,early2_V_sag,early2_V_sag_ratio,early2_dvdt_mean,early2_dvdt_std,early2_I_mean,early2_I_std,early2_IR_early,early2_power_mean,early2_power_std,early2_energy_ws,early2_energy_per_I,early2_voltage_collapse_flag,early2_IR_high_flag,early2_dvdt_fluct_flag,early5_missing,early5_V_mean,early5_V_min,early5_V_sag,early5_V_sag_ratio,early5_dvdt_mean,early5_dvdt_std,early5_I_mean,early5_I_std,early5_IR_early,early5_power_mean,early5_power_std,early5_energy_ws,early5_energy_per_I,early5_voltage_collapse_flag,early5_IR_high_flag,early5_dvdt_fluct_flag,early10_missing,early10_V_mean,early10_V_min,early10_V_sag,early10_V_sag_ratio,early10_dvdt_mean,early10_dvdt_std,early10_I_mean,early10_I_std,early10_IR_early,early10_power_mean,early10_power_std,early10_energy_ws,early10_energy_per_I,early10_voltage_collapse_flag,early10_IR_high_flag,early10_dvdt_fluct_flag,early20_missing,early20_V_mean,early20_V_min,early20_V_sag,early20_V_sag_ratio,early20_dvdt_mean,early20_dvdt_std,early20_I_mean,early20_I_std,early20_IR_early,early20_power_mean,early20_power_std,early20_energy_ws,early20_energy_per_I,early20_voltage_collapse_flag,early20_IR_high_flag,early20_dvdt_fluct_flag,early30_missing,early30_V_mean,early30_V_min,early30_V_sag,early30_V_sag_ratio,early30_dvdt_mean,early30_dvdt_std,early30_I_mean,early30_I_std,early30_IR_early,early30_power_mean,early30_power_std,early30_energy_ws,early30_energy_per_I,early30_voltage_collapse_flag,early30_IR_high_flag,early30_dvdt_fluct_flag,early50_missing,early50_V_mean,early50_V_min,early50_V_sag,early50_V_sag_ratio,early50_dvdt_mean,early50_dvdt_std,early50_I_mean,early50_I_std,early50_IR_early,early50_power_mean,early50_power_std,early50_energy_ws,early50_energy_per_I,early50_voltage_collapse_flag,early50_IR_high_flag,early50_dvdt_fluct_flag,early60_missing,early60_V_mean,early60_V_min,early60_V_sag,early60_V_sag_ratio,early60_dvdt_mean,early60_dvdt_std,early60_I_mean,early60_I_std,early60_IR_early,early60_power_mean,early60_power_std,early60_energy_ws,early60_energy_per_I,early60_voltage_collapse_flag,early60_IR_high_flag,early60_dvdt_fluct_flag
4,165.27,160.46,0.0042817,0.0041572,0.0164366,0.0144219,0.970922764,0.369664464,FALSE,FALSE,FALSE,FALSE,100,FALSE,FALSE,0.385,GOOD,4.3001,3.5059,3.793,3.4381,3.1378,2.7998,1.196,0.06415,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx,0,3.61594,3.2635,0.636,0.163097833,-0.000629421,0.000776714,-0.0039388,0.003024381,161.4704986,-0.014548177,0.011808251,0,0,1,1,0,0,3.61594,3.2635,0.636,0.163097833,-0.000279743,0.000604935,-0.0039388,0.003024381,161.4704986,-0.014548177,0.011808251,-0.01977384,-5.020270174,1,1,1,0,3.61594,3.2635,0.636,0.163097833,-0.000279743,0.000604935,-0.0039388,0.003024381,161.4704986,-0.014548177,0.011808251,-0.01977384,-5.020270174,1,1,1,0,3.61594,3.2635,0.636,0.163097833,-0.000279743,0.000604935,-0.0039388,0.003024381,161.4704986,-0.014548177,0.011808251,-0.01977384,-5.020270174,1,1,1,0,3.6145,3.2635,0.636,0.163097833,-0.000351263,0.002703705,-0.003938801,0.003024387,161.4704713,-0.014506639,0.011719539,-0.198143542,-50.30555206,1,1,1,0,3.609952,3.2635,0.636,0.163097833,-0.000441154,0.002467212,-0.003938805,0.0030244,161.4703019,-0.014423334,0.011552759,-0.591494681,-150.1711079,1,1,1,0,3.607443333,3.2635,0.636,0.163097833,-0.000457851,0.002322296,-0.003938812,0.003024411,161.4700204,-0.014385997,0.011481217,-0.787009768,-199.8089358,1,1,1,0,3.60494,3.2635,0.636,0.163097833,-0.000463755,0.002191398,-0.003938812,0.003024412,161.469995,-0.014351648,0.011416846,-0.981689231,-249.2348352,1,1,1
5,156.04,153.59,0.0040427,0.0039793,0.0155498,0.0137505,0.984317412,0.390882539,FALSE,FALSE,FALSE,FALSE,80,TRUE,FALSE,0.385,GOOD,4.3001,3.5032,3.7762,3.391,3.0767,2.7999,1.024,0.00305,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx,0,3.58858,3.209,0.6877,0.176482665,-0.000616148,0.000743631,-0.003938816,0.003024427,174.5956145,-0.014469075,0.011806134,0,0,1,1,0,0,3.58858,3.209,0.6877,0.176482665,-0.000273844,0.000582675,-0.003938816,0.003024427,174.5956145,-0.014469075,0.011806134,-0.019732736,-5.009814132,1,1,1,0,3.58858,3.209,0.6877,0.176482665,-0.000273844,0.000582675,-0.003938816,0.003024427,174.5956145,-0.014469075,0.011806134,-0.019732736,-5.009814132,1,1,1,0,3.58858,3.209,0.6877,0.176482665,-0.000273844,0.000582675,-0.003938816,0.003024427,174.5956145,-0.014469075,0.011806134,-0.019732736,-5.009814132,1,1,1,0,3.586973333,3.209,0.6877,0.176482665,-0.000367312,0.00274224,-0.003938808,0.003024404,174.5959691,-0.014426213,0.011715411,-0.197746699,-50.20470646,1,1,1,0,3.582216,3.209,0.6877,0.176482665,-0.000454265,0.002493644,-0.003938802,0.003024402,174.5962351,-0.014341404,0.011546834,-0.590038163,-149.8014277,1,1,1,0,3.57968,3.209,0.6877,0.176482665,-0.000466289,0.002337706,-0.003938802,0.003024406,174.5962351,-0.014304199,0.011476134,-0.784854765,-199.262305,1,1,1,0,3.577185714,3.209,0.6877,0.176482665,-0.000468011,0.002200081,-0.003938802,0.003024408,174.5962224,-0.014270351,0.011413228,-0.978794965,-248.5006593,1,1,1
6,157.6,155.92,0.004083,0.0040397,0.0157252,0.0140058,0.989395053,0.384344155,FALSE,FALSE,FALSE,FALSE,100,FALSE,FALSE,0.385,GOOD,4.3,3.5369,3.7952,3.4084,3.0989,2.7999,1.082,0.02525,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx,0,3.60668,3.2283,0.6793,0.173840721,-0.000591463,0.000707952,-0.00393883,0.00302443,172.462381,-0.014531251,0.011835191,0,0,1,1,0,0,3.60668,3.2283,0.6793,0.173840721,-0.000262872,0.000555996,-0.00393883,0.00302443,172.462381,-0.014531251,0.011835191,-0.01979333,-5.025179984,1,1,1,0,3.60668,3.2283,0.6793,0.173840721,-0.000262872,0.000555996,-0.00393883,0.00302443,172.462381,-0.014531251,0.011835191,-0.01979333,-5.025179984,1,1,1,0,3.60668,3.2283,0.6793,0.173840721,-0.000262872,0.000555996,-0.00393883,0.00302443,172.462381,-0.014531251,0.011835191,-0.01979333,-5.025179984,1,1,1,0,3.604846667,3.2283,0.6793,0.173840721,-0.000387243,0.002698976,-0.003938833,0.003024443,172.4622642,-0.014487758,0.011744715,-0.198354684,-50.35874866,1,1,1,0,3.599924,3.2283,0.6793,0.173840721,-0.000462559,0.002444524,-0.003938827,0.003024431,172.4625211,-0.014403328,0.011578436,-0.591611139,-150.1998358,1,1,1,0,3.597416667,3.2283,0.6793,0.173840721,-0.00046798,0.002287175,-0.00393883,0.003024437,172.4623956,-0.01436701,0.011509814,-0.786829641,-199.7622919,1,1,1,0,3.594971429,3.2283,0.6793,0.173840721,-0.000466512,0.002148607,-0.003938825,0.003024436,172.4625936,-0.014334196,0.01144923,-0.981210525,-249.1124863,1,1,1
7,156.46,154.91,0.0040535,0.0040133,0.0156135,0.0139156,0.990082645,0.384485429,FALSE,FALSE,FALSE,FALSE,100,FALSE,FALSE,0.385,GOOD,4.3,3.5358,3.7943,3.4028,3.0902,2.7998,1.057,0.01655,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx,0,3.60358,3.2216,0.6841,0.175154262,-0.000596657,0.000713099,-0.003938824,0.003024386,173.6812815,-0.014519676,0.011828796,0,0,1,1,0,0,3.60358,3.2216,0.6841,0.175154262,-0.000265181,0.000560273,-0.003938824,0.003024386,173.6812815,-0.014519676,0.011828796,-0.019780836,-5.022015805,1,1,1,0,3.60358,3.2216,0.6841,0.175154262,-0.000265181,0.000560273,-0.003938824,0.003024386,173.6812815,-0.014519676,0.011828796,-0.019780836,-5.022015805,1,1,1,0,3.60358,3.2216,0.6841,0.175154262,-0.000265181,0.000560273,-0.003938824,0.003024386,173.6812815,-0.014519676,0.011828796,-0.019780836,-5.022015805,1,1,1,0,3.60172,3.2216,0.6841,0.175154262,-0.000391902,0.002712507,-0.003938827,0.003024399,173.6811345,-0.014475806,0.011737829,-0.198235978,-50.32867951,1,1,1,0,3.59678,3.2216,0.6841,0.175154262,-0.000465276,0.002451166,-0.003938839,0.003024416,173.6806289,-0.014391213,0.011571566,-0.591199371,-150.0948379,1,1,1,0,3.594273333,3.2216,0.6841,0.175154262,-0.000469539,0.002290819,-0.003938843,0.003024423,173.6804584,-0.014354965,0.011503226,-0.786219085,-199.6066236,1,1,1,0,3.59184,3.2216,0.6841,0.175154262,-0.000466666,0.002151565,-0.003938844,0.003024424,173.6804122,-0.014322277,0.01144297,-0.980428235,-248.9127027,1,1,1
8,155.15,153.95,0.0040197,0.0039886,0.0154901,0.0138375,0.992263104,0.384283887,FALSE,FALSE,FALSE,FALSE,100,FALSE,FALSE,0.385,GOOD,4.3,3.5373,3.795,3.4017,3.0875,2.7999,1.033,0.01385,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx,0,3.6031,3.2191,0.6861,0.175688825,-0.000594731,0.000710022,-0.003938838,0.003024459,174.1884282,-0.014518381,0.011827652,0,0,1,1,0,0,3.6031,3.2191,0.6861,0.175688825,-0.000264325,0.000558026,-0.003938838,0.003024459,174.1884282,-0.014518381,0.011827652,-0.019777517,-5.021155114,1,1,1,0,3.6031,3.2191,0.6861,0.175688825,-0.000264325,0.000558026,-0.003938838,0.003024459,174.1884282,-0.014518381,0.011827652,-0.019777517,-5.021155114,1,1,1,0,3.6031,3.2191,0.6861,0.175688825,-0.000264325,0.000558026,-0.003938838,0.003024459,174.1884282,-0.014518381,0.011827652,-0.019777517,-5.021155114,1,1,1,0,3.601266667,3.2191,0.6861,0.175688825,-0.000388177,0.00272531,-0.003938853,0.003024467,174.1877796,-0.014474501,0.01173613,-0.198204019,-50.32024179,1,1,1,0,3.5964,3.2191,0.6861,0.175688825,-0.00045852,0.002458583,-0.003938864,0.003024475,174.1872607,-0.014390089,0.01156927,-0.591016719,-150.0474905,1,1,1,0,3.593966667,3.2191,0.6861,0.175688825,-0.00045981,0.00229574,-0.003938866,0.003024472,174.1872047,-0.014354249,0.011501136,-0.785934585,-199.5332289,1,1,1,0,3.591602857,3.2191,0.6861,0.175688825,-0.000456602,0.002154288,-0.003938867,0.00302447,174.1871646,-0.014322041,0.011441294,-0.980040797,-248.8128955,1,1,1
9,152.63,151.49,0.0039543,0.0039247,0.0152442,0.013598,0.992514478,0.390371036,FALSE,FALSE,FALSE,FALSE,80,TRUE,FALSE,0.385,GOOD,4.3001,3.526,3.7852,3.3855,3.0629,2.8,0.971,-0.01075,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx,0,3.5913,3.1997,0.7008,0.179669273,-0.000607468,0.000722162,-0.003938882,0.003024447,177.9185058,-0.014480516,0.011815479,0,0,1,1,0,0,3.5913,3.1997,0.7008,0.179669273,-0.000269986,0.000568244,-0.003938882,0.003024447,177.9185058,-0.014480516,0.011815479,-0.019745767,-5.013038544,1,1,1,0,3.5913,3.1997,0.7008,0.179669273,-0.000269986,0.000568244,-0.003938882,0.003024447,177.9185058,-0.014480516,0.011815479,-0.019745767,-5.013038544,1,1,1,0,3.5913,3.1997,0.7008,0.179669273,-0.000269986,0.000568244,-0.003938882,0.003024447,177.9185058,-0.014480516,0.011815479,-0.019745767,-5.013038544,1,1,1,0,3.589453333,3.1997,0.7008,0.179669273,-0.000393403,0.00277483,-0.003938871,0.003024453,177.9190177,-0.014435698,0.011722342,-0.197899168,-50.24261631,1,1,1,0,3.584556,3.1997,0.7008,0.179669273,-0.000461985,0.002494672,-0.003938868,0.003024446,177.9191563,-0.014350186,0.011553648,-0.589977652,-149.7835704,1,1,1,0,3.582093333,3.1997,0.7008,0.179669273,-0.000465436,0.002328556,-0.003938868,0.003024457,177.9191382,-0.014313915,0.011484979,-0.784551262,-199.1819128,1,1,1,0,3.579705714,3.1997,0.7008,0.179669273,-0.000461696,0.002184302,-0.003938861,0.003024454,177.9194737,-0.014281328,0.011424699,-0.978293018,-248.3695476,1,1,1
10,149.21,147.81,0.0038657,0.0038294,0.0149099,0.0132344,0.990609721,0.400974535,FALSE,FALSE,FALSE,FALSE,80,TRUE,FALSE,0.385,GOOD,4.3001,3.5116,3.7691,3.3611,3.0251,2.7998,0.879,-0.04855,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx,0,3.5732,3.1715,0.7199,0.184997687,-0.000626394,0.000737351,-0.003938848,0.003024413,182.7691751,-0.014419236,0.011789937,0,0,1,1,0,0,3.5732,3.1715,0.7199,0.184997687,-0.000278397,0.000581824,-0.003938848,0.003024413,182.7691751,-0.014419236,0.011789937,-0.019688779,-4.998613647,1,1,1,0,3.5732,3.1715,0.7199,0.184997687,-0.000278397,0.000581824,-0.003938848,0.003024413,182.7691751,-0.014419236,0.011789937,-0.019688779,-4.998613647,1,1,1,0,3.5732,3.1715,0.7199,0.184997687,-0.000278397,0.000581824,-0.003938848,0.003024413,182.7691751,-0.014419236,0.011789937,-0.019688779,-4.998613647,1,1,1,0,3.571333333,3.1715,0.7199,0.184997687,-0.000401192,0.002769432,-0.003938851,0.003024412,182.7690205,-0.014374151,0.0116967,-0.197339582,-50.10079468,1,1,1,0,3.566348,3.1715,0.7199,0.184997687,-0.000473195,0.00249316,-0.003938839,0.00302442,182.7695835,-0.01428772,0.011527509,-0.588352719,-149.3721093,1,1,1,0,3.563833333,3.1715,0.7199,0.184997687,-0.000475403,0.00232783,-0.003938834,0.003024415,182.7698248,-0.014250954,0.011458353,-0.782357554,-198.6266886,1,1,1,0,3.561371429,3.1715,0.7199,0.184997687,-0.00047402,0.002184456,-0.003938833,0.003024417,182.7698513,-0.014217845,0.011397588,-0.975554876,-247.6760933,1,1,1
11,148.9,147.72,0.0038578,0.003827,0.0148911,0.0132341,0.992016175,0.401910652,FALSE,FALSE,FALSE,FALSE,80,TRUE,FALSE,0.385,GOOD,4.3,3.5129,3.7721,3.3622,3.0292,2.7999,0.877,-0.04445,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx,0,3.57496,3.1747,0.7168,0.184196325,-0.000625852,0.000737843,-0.003938798,0.003024351,181.9844531,-0.01442262,0.011788722,0,0,1,1,0,0,3.57496,3.1747,0.7168,0.184196325,-0.000278156,0.000581958,-0.003938798,0.003024351,181.9844531,-0.01442262,0.011788722,-0.019690575,-4.999133036,1,1,1,0,3.57496,3.1747,0.7168,0.184196325,-0.000278156,0.000581958,-0.003938798,0.003024351,181.9844531,-0.01442262,0.011788722,-0.019690575,-4.999133036,1,1,1,0,3.57496,3.1747,0.7168,0.184196325,-0.000278156,0.000581958,-0.003938798,0.003024351,181.9844531,-0.01442262,0.011788722,-0.019690575,-4.999133036,1,1,1,0,3.573066667,3.1747,0.7168,0.184196325,-0.000404212,0.002778622,-0.003938803,0.003024364,181.9842067,-0.014377368,0.011695212,-0.197357242,-50.10588876,1,1,1,0,3.568088,3.1747,0.7168,0.184196325,-0.00047329,0.002492466,-0.003938804,0.003024365,181.9841759,-0.014291293,0.011526623,-0.588335226,-149.369003,1,1,1,0,3.565566667,3.1747,0.7168,0.184196325,-0.000476516,0.002325915,-0.003938799,0.003024364,181.9844069,-0.014254686,0.011457937,-0.782372832,-198.6323324,1,1,1,0,3.563117143,3.1747,0.7168,0.184196325,-0.000473205,0.002182837,-0.003938802,0.003024368,181.9842815,-0.014221761,0.011397547,-0.975573158,-247.6827292,1,1,1
12,146.04,145.47,0.0037836,0.0037689,0.0146019,0.0130096,0.996114811,0.407431575,FALSE,FALSE,FALSE,FALSE,80,TRUE,FALSE,0.385,GOOD,4.3001,3.4973,3.7627,3.3437,3.0215,2.8,0.821,-0.05215,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx,0,3.56378,3.1624,0.7236,0.186206897,-0.000632,0.000754972,-0.00393876,0.003024373,183.7126405,-0.014382631,0.011773277,0,0,1,1,0,0,3.56378,3.1624,0.7236,0.186206897,-0.000280889,0.000593253,-0.00393876,0.003024373,183.7126405,-0.014382631,0.011773277,-0.019658556,-4.991051945,1,1,1,0,3.56378,3.1624,0.7236,0.186206897,-0.000280889,0.000593253,-0.00393876,0.003024373,183.7126405,-0.014382631,0.011773277,-0.019658556,-4.991051945,1,1,1,0,3.56378,3.1624,0.7236,0.186206897,-0.000280889,0.000593253,-0.00393876,0.003024373,183.7126405,-0.014382631,0.011773277,-0.019658556,-4.991051945,1,1,1,0,3.56184,3.1624,0.7236,0.186206897,-0.000411524,0.002834854,-0.003938764,0.003024372,183.712454,-0.014336622,0.011677761,-0.197040365,-50.02593835,1,1,1,0,3.556788,3.1624,0.7236,0.186206897,-0.000479639,0.002534161,-0.003938758,0.003024358,183.7127525,-0.014249598,0.01150674,-0.587272465,-149.1009412,1,1,1,0,3.554243333,3.1624,0.7236,0.186206897,-0.000482115,0.002363078,-0.003938765,0.003024372,183.7124073,-0.014212766,0.011437399,-0.780884346,-198.2561402,1,1,1,0,3.55178,3.1624,0.7236,0.186206897,-0.000477686,0.002216614,-0.003938762,0.003024366,183.7125606,-0.014179641,0.011376429,-0.973700362,-247.209766,1,1,1
13,151.9,151.42,0.0039355,0.0039231,0.0151643,0.0136154,0.996849193,0.382636237,FALSE,FALSE,FALSE,FALSE,100,FALSE,FALSE,0.385,GOOD,4.3,3.5051,3.7899,3.3927,3.0644,2.7999,0.97,-0.00925,2,good_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx,0,3.59152,3.2061,0.6852,0.176085113,-0.000643523,0.000773071,-0.003938766,0.0030244,173.9631143,-0.014466083,0.011782996,0,0,1,1,0,0,3.59152,3.2061,0.6852,0.176085113,-0.00028601,0.000606522,-0.003938766,0.0030244,173.9631143,-0.014466083,0.011782996,-0.019705901,-5.003064747,1,1,1,0,3.59152,3.2061,0.6852,0.176085113,-0.00028601,0.000606522,-0.003938766,0.0030244,173.9631143,-0.014466083,0.011782996,-0.019705901,-5.003064747,1,1,1,0,3.59152,3.2061,0.6852,0.176085113,-0.00028601,0.000606522,-0.003938766,0.0030244,173.9631143,-0.014466083,0.011782996,-0.019705901,-5.003064747,1,1,1,0,3.589886667,3.2061,0.6852,0.176085113,-0.000378308,0.002840723,-0.003938763,0.003024399,173.9632616,-0.014421636,0.011689091,-0.197499918,-50.1426297,1,1,1,0,3.58534,3.2061,0.6852,0.176085113,-0.00044318,0.002545548,-0.003938763,0.003024409,173.963238,-0.014336821,0.011519849,-0.588846214,-149.5002832,1,1,1,0,3.58299,3.2061,0.6852,0.176085113,-0.000447804,0.002376136,-0.003938766,0.003024414,173.9631143,-0.014300675,0.011450756,-0.783106249,-198.8202014,1,1,1,0,3.580654286,3.2061,0.6852,0.176085113,-0.000449597,0.002230476,-0.003938767,0.003024419,173.9630891,-0.014267929,0.011389747,-0.976668849,-247.9631203,1,1,1
