file,Cycle,cycle_label_3name
2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02.xlsx,4,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02.xlsx,5,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02.xlsx,6,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02.xlsx,7,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02.xlsx,8,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02.xlsx,9,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02.xlsx,10,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02.xlsx,11,GOOD_drone
2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02.xlsx,12,GOOD_drone
2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02.xlsx,13,GOOD_drone
2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02.xlsx,14,GOOD_drone
2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02.xlsx,15,GOOD_drone
2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02.xlsx,16,GOOD_drone
2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02.xlsx,17,GOOD_drone
2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02.xlsx,18,GOOD_drone
2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02.xlsx,19,GOOD_drone
2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02.xlsx,20,GOOD_drone
2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02.xlsx,21,GOOD_drone
2025-06-11 MSE supplies Gra NMC811 Gen2 2_1_6_2025-06-19 16-25-23.xlsx,4,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 Gen2 2_1_6_2025-06-19 16-25-23.xlsx,5,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 Gen2 2_1_6_2025-06-19 16-25-23.xlsx,6,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 Gen2 2_1_6_2025-06-19 16-25-23.xlsx,7,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 Gen2 3_2_2_2025-06-19 16-25-48.xlsx,4,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 Gen2 3_2_2_2025-06-19 16-25-48.xlsx,5,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 Gen2 3_2_2_2025-06-19 16-25-48.xlsx,6,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 Gen2 3_2_2_2025-06-19 16-25-48.xlsx,7,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 .xlsx,4,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 .xlsx,5,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 .xlsx,6,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 .xlsx,7,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 .xlsx,8,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 .xlsx,9,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 .xlsx,10,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 .xlsx,11,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 .xlsx,12,GOOD_drone
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 .xlsx,13,GOOD_drone
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 .xlsx,14,GOOD_drone
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 .xlsx,15,GOOD_drone
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 .xlsx,16,GOOD_drone
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 .xlsx,17,GOOD_drone
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 .xlsx,18,GOOD_drone
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 .xlsx,19,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 .xlsx,20,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 .xlsx,21,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 .xlsx,22,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 .xlsx,23,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 .xlsx,24,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 .xlsx,25,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 .xlsx,26,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-26-11.xlsx,4,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-26-11.xlsx,5,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-26-11.xlsx,6,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-26-11.xlsx,7,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02.xlsx,4,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02.xlsx,5,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02.xlsx,6,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02.xlsx,7,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02.xlsx,8,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02.xlsx,9,BAD
2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02.xlsx,10,BAD
2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02.xlsx,11,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02.xlsx,12,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02.xlsx,13,GOOD_not_drone
2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02.xlsx,14,BAD
2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02.xlsx,15,BAD
2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02.xlsx,16,BAD
2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02.xlsx,17,BAD
2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02.xlsx,18,BAD
2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02.xlsx,19,BAD
2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02.xlsx,20,BAD
2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02.xlsx,21,BAD
2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02.xlsx,22,BAD
2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02.xlsx,23,BAD
2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02.xlsx,24,BAD
2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02.xlsx,25,BAD
2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02.xlsx,26,BAD
2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02.xlsx,27,BAD
2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02.xlsx,28,BAD
2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02.xlsx,29,BAD
2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02.xlsx,30,BAD
2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02.xlsx,31,BAD
2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02.xlsx,32,BAD
2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02.xlsx,33,BAD
2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02.xlsx,34,BAD
2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02.xlsx,35,BAD
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,4,GOOD_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,5,GOOD_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,6,GOOD_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,7,GOOD_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,8,GOOD_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,9,GOOD_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,10,GOOD_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,11,GOOD_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,12,GOOD_not_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,13,GOOD_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,14,GOOD_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,15,GOOD_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,16,GOOD_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,17,GOOD_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,18,GOOD_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,19,GOOD_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,20,GOOD_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,21,GOOD_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,22,GOOD_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,23,GOOD_not_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,24,GOOD_not_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,25,GOOD_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,26,GOOD_not_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,27,GOOD_not_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,28,GOOD_not_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,29,GOOD_not_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,30,GOOD_not_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,31,GOOD_not_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,32,GOOD_not_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,33,GOOD_not_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,34,GOOD_not_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,35,GOOD_not_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,36,GOOD_not_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,37,GOOD_not_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,38,GOOD_not_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,39,GOOD_not_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,40,GOOD_not_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,41,GOOD_not_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,42,GOOD_not_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,43,GOOD_not_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,44,GOOD_not_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,45,GOOD_not_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,46,GOOD_not_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,47,GOOD_not_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,48,GOOD_not_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,49,GOOD_not_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,50,GOOD_not_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,51,GOOD_not_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,52,GOOD_not_drone
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00.xlsx,53,GOOD_not_drone
