file,Cycle,cycle_label_3name,charge_V_end,take_off_V_end,hover_V_end,cruise_V_end,landing_V_end,standby_V_end,standby_t_end_h,landing_V_rel_global,missing_step_pattern
2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02.xlsx,4,GOOD_not_drone,,,,,,,,,1
2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02.xlsx,5,GOOD_not_drone,,,,,,,,,1
2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02.xlsx,6,GOOD_not_drone,,,,,,,,,1
2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02.xlsx,7,GOOD_not_drone,,,,,,,,,1
2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02.xlsx,8,GOOD_not_drone,,,,,,,,,1
2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02.xlsx,9,GOOD_not_drone,,,,,,,,,1
2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02.xlsx,10,GOOD_not_drone,4.3001,3.5594,3.7801,3.5152,3.0472,2.8,1.228,-1.2529,0
2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02.xlsx,11,GOOD_drone,4.3,3.6026,3.8622,3.6006,3.3196,2.7999,2.752,-0.9804,0
2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02.xlsx,12,GOOD_drone,4.3,3.5944,3.8597,3.5985,3.3155,2.7999,2.734,-0.9845,0
2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02.xlsx,13,GOOD_drone,4.3,3.6008,3.8627,3.6002,3.3196,2.8,2.74,-0.9804,0
2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02.xlsx,14,GOOD_drone,4.3,3.5892,3.8579,3.5991,3.3181,2.7999,2.717,-0.9819,0
2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02.xlsx,15,GOOD_drone,4.3,3.5881,3.858,3.5973,3.3131,2.7999,2.709,-0.9869,0
2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02.xlsx,16,GOOD_drone,4.3,3.5894,3.8576,3.597,3.3122,2.8,2.706,-0.9878,0
2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02.xlsx,17,GOOD_drone,4.3,3.5846,3.8563,3.5962,3.3104,2.8,2.698,-0.9896,0
2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02.xlsx,18,GOOD_drone,4.3,3.5831,3.8548,3.5958,3.3095,2.7999,2.692,-0.9905,0
2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02.xlsx,19,GOOD_drone,4.3,3.5808,3.8548,3.5955,3.3063,2.7999,2.691,-0.9937,0
2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02.xlsx,20,GOOD_drone,4.3,3.5918,3.8594,3.5989,3.3164,2.8,2.706,-0.9836,0
2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02.xlsx,21,GOOD_drone,4.3,3.5878,3.8591,3.5985,3.3154,2.8,2.697,-0.9846,0
2025-06-11 MSE supplies Gra NMC811 Gen2 2_1_6_2025-06-19 16-25-23.xlsx,4,GOOD_not_drone,,,,,,,,,1
2025-06-11 MSE supplies Gra NMC811 Gen2 2_1_6_2025-06-19 16-25-23.xlsx,5,GOOD_not_drone,,,,,,,,,1
2025-06-11 MSE supplies Gra NMC811 Gen2 2_1_6_2025-06-19 16-25-23.xlsx,6,GOOD_not_drone,,,,,,,,,1
2025-06-11 MSE supplies Gra NMC811 Gen2 2_1_6_2025-06-19 16-25-23.xlsx,7,GOOD_not_drone,,,,,,,,,1
2025-06-11 MSE supplies Gra NMC811 Gen2 3_2_2_2025-06-19 16-25-48.xlsx,4,GOOD_not_drone,,,,,,,,,1
2025-06-11 MSE supplies Gra NMC811 Gen2 3_2_2_2025-06-19 16-25-48.xlsx,5,GOOD_not_drone,,,,,,,,,1
2025-06-11 MSE supplies Gra NMC811 Gen2 3_2_2_2025-06-19 16-25-48.xlsx,6,GOOD_not_drone,,,,,,,,,1
2025-06-11 MSE supplies Gra NMC811 Gen2 3_2_2_2025-06-19 16-25-48.xlsx,7,GOOD_not_drone,,,,,,,,,1
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 .xlsx,4,GOOD_not_drone,,,,,,,,,1
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 .xlsx,5,GOOD_not_drone,,,,,,,,,1
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 .xlsx,6,GOOD_not_drone,,,,,,,,,1
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 .xlsx,7,GOOD_not_drone,,,,,,,,,1
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 .xlsx,8,GOOD_not_drone,,,,,,,,,1
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 .xlsx,9,GOOD_not_drone,,,,,,,,,1
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 .xlsx,10,GOOD_not_drone,,,,,,,,,1
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 .xlsx,11,GOOD_not_drone,4.3,3.4599,3.8216,3.5619,3.1632,2.8,1.823,-1.1368,0
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 .xlsx,12,GOOD_drone,4.3,3.4948,3.8235,3.5572,3.1702,2.8,1.67,-1.1298,0
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 .xlsx,13,GOOD_drone,4.3,3.49,3.8236,3.5577,3.1691,2.8,1.659,-1.1309,0
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 .xlsx,14,GOOD_drone,4.3,3.482,3.8211,3.5556,3.1618,2.8,1.618,-1.1382,0
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 .xlsx,15,GOOD_drone,4.3001,3.4656,3.8149,3.5494,3.1333,2.8,1.551,-1.1668,0
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 .xlsx,16,GOOD_drone,4.3001,3.4579,3.8095,3.5431,3.1049,2.7999,1.477,-1.1952,0
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 .xlsx,17,GOOD_drone,4.3,3.435,3.802,3.5366,3.0696,2.8,1.39,-1.2304,0
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 .xlsx,18,GOOD_drone,4.3001,3.4247,3.7966,3.5301,3.0302,2.8,1.308,-1.2699,0
