file,status,reason,first_cycle,first_label,rows,count_bad,count_good_not_drone,count_good_drone
2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good_labeled_3class.xlsx,skipped,bad_from_first_cycle,4,good_not_drone,,,,
2025-06-11 MSE supplies Gra NMC811 Gen2 2_1_6_2025-06-19 16-25-23_good_labeled_3class.xlsx,skipped,bad_from_first_cycle,4,good_not_drone,,,,
2025-06-11 MSE supplies Gra NMC811 Gen2 3_2_2_2025-06-19 16-25-48_good_labeled_3class.xlsx,skipped,bad_from_first_cycle,4,good_not_drone,,,,
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good_labeled_3class.xlsx,skipped,bad_from_first_cycle,4,good_not_drone,,,,
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-26-11_good_labeled_3class.xlsx,skipped,bad_from_first_cycle,4,good_not_drone,,,,
2025-06-11 MSE supplies Gra NMC811 XFC 2_2_4_2025-06-19 16-25-02_bad_labeled_3class.xlsx,skipped,bad_from_first_cycle,4,bad,,,,
2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02_good_labeled_3class.xlsx,skipped,bad_from_first_cycle,4,good_not_drone,,,,
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx,kept,,4,good_drone,478,390,69,19
2025-06-25 GraSi NMC811 LP57 2_5_6_2025-06-26 12-34-47_good_labeled_3class.xlsx,skipped,bad_from_first_cycle,4,good_not_drone,,,,
2025-06-25 GraSi NMC811 LP57 3_5_7_2025-06-26 12-35-11_bad_labeled_3class.xlsx,skipped,bad_from_first_cycle,4,good_not_drone,,,,
2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled_3class.xlsx,kept,,4,good_drone,326,180,47,99
2025-06-25 GraSi NMC811 LP57 CPCN 1_6_1_2025-06-25 18-08-00_bad_labeled_3class.xlsx,skipped,bad_from_first_cycle,4,bad,,,,
2025-06-25 GraSi NMC811 LP57 CPCN 2_6_2_2025-06-25 18-08-00_bad_labeled_3class.xlsx,skipped,bad_from_first_cycle,4,bad,,,,
2025-06-25 GraSi NMC811 LP57 CPCN 3_6_3_2025-06-25 18-08-00_bad_labeled_3class.xlsx,skipped,bad_from_first_cycle,4,bad,,,,
2025-06-25 GraSi NMC811 LP57 DFEC 1_6_1_2025-06-25 18-08-00_bad_labeled_3class.xlsx,skipped,bad_from_first_cycle,4,good_not_drone,,,,
2025-06-25 GraSi NMC811 LP57 DFEC 2_6_2_2025-06-25 18-08-00_good_labeled_3class.xlsx,skipped,bad_from_first_cycle,4,good_not_drone,,,,
2025-06-25 GraSi NMC811 LP57 DFEC 3_6_3_2025-06-25 18-08-00_bad_labeled_3class.xlsx,kept,,4,good_drone,443,396,21,26
2025-06-25 GraSi NMC811 LP57 LiDFP 1_6_4_2025-06-25 18-08-00_bad_labeled_3class.xlsx,skipped,bad_from_first_cycle,4,bad,,,,
2025-06-25 GraSi NMC811 LP57 LiDFP 2_6_5_2025-06-25 18-08-00_bad_labeled_3class.xlsx,skipped,bad_from_first_cycle,4,bad,,,,
2025-06-25 GraSi NMC811 LP57 LiDFP 3_6_6_2025-06-25 18-08-00_good_labeled_3class.xlsx,kept,,4,good_drone,274,190,72,12
2025-06-25 GraSi NMC811 LP57 TXFC 2_8_7_2025-07-03 17-10-45_bad_labeled_3class.xlsx,skipped,bad_from_first_cycle,4,bad,,,,
2025-06-25 GraSi NMC811 LP57 TXFC 3_8_8_2025-07-03 17-11-01_bad_labeled_3class.xlsx,skipped,bad_from_first_cycle,4,bad,,,,
2025-06-25 GraSi NMC811 LP57 XFC15 1_6_7_2025-06-25 18-08-00_bad_labeled_3class.xlsx,kept,,4,good_drone,811,757,11,43
