model,feature_set,accuracy,macro_f1
RandomForest,full,0.9984042053881536,0.9804638969059289
XGBoost,full,0.9994367783722895,0.9907041015011621
MLP,full,0.9978409837604431,0.9757829572555689
RandomForest,no_early,0.9995306486435745,0.9928729344281905
XGBoost,no_early,0.9994367783722895,0.9907041015011621
MLP,no_early,0.9978409837604431,0.9655199892722545
RandomForest,early5_only,0.9872336431052285,0.8742860375383503
XGBoost,early5_only,0.9803811133014174,0.8281588488075385
MLP,early5_only,0.9856378484933821,0.8730651254401026
RandomForest,early10_only,0.9848868863231015,0.8645350831513153
XGBoost,early10_only,0.9826339998122594,0.8489856109195285
MLP,early10_only,0.9848868863231015,0.8682891989985247
RandomForest,early20_only,0.9891110485309302,0.8927296279512672
XGBoost,early20_only,0.9831033511686849,0.8316406211143054
MLP,early20_only,0.9833849619825401,0.8566984186558132
RandomForest,early30_only,0.9885478269032197,0.8851392861403166
XGBoost,early30_only,0.9842297944241059,0.8355242173624479
MLP,early30_only,0.985543978222097,0.8634743355933794
RandomForest,early50_only,0.9881723458180794,0.8828188167731611
XGBoost,early50_only,0.9856378484933821,0.856341491989439
MLP,early50_only,0.9868581620200882,0.8683128294742456
RandomForest,early60_only,0.9887355674457899,0.8904787306817789
XGBoost,early60_only,0.9862010701210927,0.8606842181201085
MLP,early60_only,0.9862949403923778,0.8604648187190347
