model,feature_set,accuracy,macro_f1
RandomForest,early1_only,0.860954545,0.853548596
XGBoost,early1_only,0.863636364,0.849217618
MLP,early1_only,0.840056818,0.83928276
RandomForest,early2_only,0.88595455,0.863684851
XGBoost,early2_only,0.882056818,0.850795714
MLP,early2_only,0.867840909,0.843555306
RandomForest,early5_only,0.889227273,0.865377604
XGBoost,early5_only,0.887954545,0.85441307
MLP,early5_only,0.872840909,0.843728641
RandomForest,early10_only,0.895653409,0.874184178
XGBoost,early10_only,0.894517046,0.873151877
MLP,early10_only,0.880681818,0.862825233
RandomForest,early20_only,0.899705682,0.87501488
XGBoost,early20_only,0.896079546,0.874643244
MLP,early20_only,0.885340909,0.874732521
RandomForest,early30_only,0.909722727,0.876843648
XGBoost,early30_only,0.900784091,0.872746444
MLP,early30_only,0.897727273,0.878066902
RandomForest,early50_only,0.929805682,0.886499524
XGBoost,early50_only,0.912272727,0.873774293
MLP,early50_only,0.90738636,0.875025582
RandomForest,early60_only,0.946565341,0.894106015
XGBoost,early60_only,0.939353693,0.883869483
MLP,early60_only,0.9275,0.895506958
