model,feature_set,accuracy,macro_f1
RandomForest,full,0.9857954545454546,0.9816001712200695
XGBoost,full,0.9928977272727273,0.990688435036315
MLP,full,0.9829545454545454,0.9777972730514316
RandomForest,no_early,0.9914772727272727,0.9888047324192835
XGBoost,no_early,0.9943181818181818,0.9925648510216445
MLP,no_early,0.9928977272727273,0.9907858412428064
RandomForest,early1_only,0.859375,0.8443273708193161
XGBoost,early1_only,0.8636363636363636,0.8493676050591595
MLP,early1_only,0.8196022727272727,0.7921057553264313
RandomForest,early1_plus_base,0.9914772727272727,0.9888047324192835
XGBoost,early1_plus_base,0.9943181818181818,0.9925648510216445
MLP,early1_plus_base,0.9914772727272727,0.9891647700885264
RandomForest,early2_only,0.859375,0.8447540866205495
XGBoost,early2_only,0.8622159090909091,0.847547047899245
MLP,early2_only,0.8210227272727273,0.794027456918844
RandomForest,early2_plus_base,0.9914772727272727,0.9888047324192835
XGBoost,early2_plus_base,0.9943181818181818,0.9925648510216445
MLP,early2_plus_base,0.9914772727272727,0.9891647700885264
RandomForest,early5_only,0.8522727272727273,0.8376033702260987
XGBoost,early5_only,0.8607954545454546,0.8467480299305957
MLP,early5_only,0.828125,0.8026002673843168
RandomForest,early5_plus_base,0.9914772727272727,0.9888047324192835
XGBoost,early5_plus_base,0.9928977272727273,0.990688435036315
MLP,early5_plus_base,0.9914772727272727,0.9891647700885264
RandomForest,early10_only,0.859375,0.8446827956009789
XGBoost,early10_only,0.859375,0.8450094875431473
MLP,early10_only,0.8664772727272727,0.8493273440442808
RandomForest,early10_plus_base,0.9914772727272727,0.9888047324192835
XGBoost,early10_plus_base,0.9928977272727273,0.990688435036315
MLP,early10_plus_base,0.9900568181818182,0.9872492170299855
RandomForest,early20_only,0.8622159090909091,0.8467986804452717
XGBoost,early20_only,0.8565340909090909,0.842292577675137
MLP,early20_only,0.8806818181818182,0.8596010023645547
RandomForest,early20_plus_base,0.9872159090909091,0.9834904407859799
XGBoost,early20_plus_base,0.9914772727272727,0.9888047324192835
MLP,early20_plus_base,0.9914772727272727,0.9891179577191321
RandomForest,early30_only,0.8963068181818182,0.8805983197510588
XGBoost,early30_only,0.8948863636363636,0.8810233663505813
MLP,early30_only,0.8948863636363636,0.8767234786281254
RandomForest,early30_plus_base,0.9872159090909091,0.9834904407859799
XGBoost,early30_plus_base,0.9914772727272727,0.9888047324192835
MLP,early30_plus_base,0.9914772727272727,0.9891179577191321
RandomForest,early50_only,0.8721590909090909,0.8556743808823253
XGBoost,early50_only,0.8565340909090909,0.8421002240094402
MLP,early50_only,0.875,0.8541449882400419
RandomForest,early50_plus_base,0.9872159090909091,0.9834904407859799
XGBoost,early50_plus_base,0.9914772727272727,0.9888047324192835
MLP,early50_plus_base,0.9872159090909091,0.9834904407859799
RandomForest,early60_only,0.8607954545454546,0.8439530659198455
XGBoost,early60_only,0.8522727272727273,0.8379289709150287
MLP,early60_only,0.8778409090909091,0.8566355180167093
RandomForest,early60_plus_base,0.9872159090909091,0.9834904407859799
XGBoost,early60_plus_base,0.9914772727272727,0.9888047324192835
MLP,early60_plus_base,0.9872159090909091,0.9834904407859799
