model,feature_set,accuracy,macro_f1,syn_accuracy,syn_macro_f1,accuracy_impr,macro_f1_impr
RandomForest,full,0.9857954545454546,0.9816001712200696,0.9857954545454546,0.9816001712200696,0.0,0.0
XGBoost,full,0.9914772727272727,0.9888047324192835,0.9872159090909091,0.9834904407859799,-0.0042613636363636465,-0.005314291633303547
MLP,full,0.9872159090909091,0.9837540942302847,0.9517045454545454,0.9340792365812405,-0.035511363636363646,-0.049674857649044224
RandomForest,no_early,0.9914772727272727,0.9888047324192835,0.9914772727272727,0.9888047324192835,0.0,0.0
XGBoost,no_early,0.9914772727272727,0.9888047324192835,0.9943181818181818,0.9926197244697136,0.0028409090909090606,0.0038149920504301216
MLP,no_early,0.9914772727272727,0.9890387203134523,0.9886363636363636,0.9851352444855935,-0.0028409090909090606,-0.003903475827858771
RandomForest,early1_only,0.8622159090909091,0.8471905345669527,0.8707386363636364,0.8543425975683764,0.008522727272727293,0.007152063001423681
XGBoost,early1_only,0.8622159090909091,0.8477832645246837,0.8650568181818182,0.8507229980199876,0.0028409090909091717,0.0029397334953039644
MLP,early1_only,0.8210227272727273,0.794027456918844,0.8125,0.7814069516480308,-0.008522727272727293,-0.012620505270813265
RandomForest,early1_plus_base,0.9914772727272727,0.9888047324192835,0.9914772727272727,0.9888047324192835,0.0,0.0
XGBoost,early1_plus_base,0.9914772727272727,0.9888047324192835,0.9900568181818182,0.9870261059649424,-0.0014204545454544748,-0.0017786264543410146
MLP,early1_plus_base,0.9886363636363636,0.9855538296607608,0.9786931818181818,0.9720351936142587,-0.009943181818181879,-0.013518636046502053
RandomForest,early2_only,0.8607954545454546,0.846300941980242,0.8693181818181818,0.8546248097094423,0.008522727272727182,0.008323867729200352
XGBoost,early2_only,0.8650568181818182,0.8504148529607609,0.8678977272727273,0.8530771047074507,0.0028409090909090606,0.00266225174668977
MLP,early2_only,0.8210227272727273,0.794027456918844,0.8125,0.7797460511462498,-0.008522727272727293,-0.01428140577259418
RandomForest,early2_plus_base,0.9914772727272727,0.9888047324192835,0.9914772727272727,0.9888047324192835,0.0,0.0
XGBoost,early2_plus_base,0.9914772727272727,0.9888047324192835,0.9900568181818182,0.9870261059649424,-0.0014204545454544748,-0.0017786264543410146
MLP,early2_plus_base,0.9872159090909091,0.9836927647030423,0.9786931818181818,0.9720351936142587,-0.008522727272727293,-0.011657571088783625
RandomForest,early5_only,0.8451704545454546,0.8307070214240776,0.890625,0.875531979178656,0.045454545454545414,0.0448249577545784
XGBoost,early5_only,0.8579545454545454,0.8437780433022776,0.8565340909090909,0.8418217065895542,-0.0014204545454544748,-0.0019563367127233278
MLP,early5_only,0.828125,0.8026002673843168,0.8409090909090909,0.8199646763860562,0.01278409090909094,0.01736440900173941
RandomForest,early5_plus_base,0.9914772727272727,0.9888047324192835,0.9914772727272727,0.9888472765324668,0.0,4.25441131833848e-05
XGBoost,early5_plus_base,0.9914772727272727,0.9888047324192835,0.9900568181818182,0.9870261059649424,-0.0014204545454544748,-0.0017786264543410146
MLP,early5_plus_base,0.9872159090909091,0.9836927647030423,0.9872159090909091,0.9835591801296165,0.0,-0.00013358457342582675
RandomForest,early10_only,0.8622159090909091,0.8470469760466551,0.9176136363636364,0.903352467786659,0.05539772727272729,0.05630549174000388
XGBoost,early10_only,0.8622159090909091,0.8476554333067815,0.8764204545454546,0.8614149765623159,0.014204545454545525,0.013759543255534412
MLP,early10_only,0.8664772727272727,0.8492146430226571,0.8707386363636364,0.8522825613640478,0.0042613636363636465,0.003067918341390641
RandomForest,early10_plus_base,0.9914772727272727,0.9888047324192835,0.9914772727272727,0.9888047324192835,0.0,0.0
XGBoost,early10_plus_base,0.9914772727272727,0.9888047324192835,0.9900568181818182,0.9870775141967107,-0.0014204545454544748,-0.0017272182225727128
MLP,early10_plus_base,0.9900568181818182,0.9873031833816147,0.9886363636363636,0.9856151805938994,-0.0014204545454545858,-0.0016880027877153037
RandomForest,early20_only,0.8551136363636364,0.838434973266434,0.9247159090909091,0.9104676891622662,0.06960227272727271,0.07203271589583216
XGBoost,early20_only,0.859375,0.8449094331347083,0.9232954545454546,0.9095538617686634,0.06392045454545459,0.06464442863395503
MLP,early20_only,0.8806818181818182,0.8596010023645547,0.8778409090909091,0.8615518815536664,-0.0028409090909091717,0.0019508791891116317
RandomForest,early20_plus_base,0.9914772727272727,0.9888047324192835,0.9914772727272727,0.9888047324192835,0.0,0.0
XGBoost,early20_plus_base,0.9914772727272727,0.9888047324192835,0.9900568181818182,0.9873031833816147,-0.0014204545454544748,-0.001501549037668748
MLP,early20_plus_base,0.9886363636363636,0.9855538296607608,0.9801136363636364,0.9749560858982428,-0.008522727272727293,-0.010597743762517986
RandomForest,early30_only,0.8849431818181818,0.8677559442296522,0.9318181818181818,0.9190431685388131,0.046875,0.051287224309160884
XGBoost,early30_only,0.9090909090909091,0.8955135334558165,0.9232954545454546,0.9103580223548812,0.014204545454545525,0.014844488899064645
MLP,early30_only,0.8948863636363636,0.8767234786281254,0.8892045454545454,0.8689028214906219,-0.005681818181818232,-0.007820657137503462
RandomForest,early30_plus_base,0.9914772727272727,0.9888047324192835,0.9900568181818182,0.9870261059649424,-0.0014204545454544748,-0.0017786264543410146
XGBoost,early30_plus_base,0.9914772727272727,0.9888047324192835,0.9872159090909091,0.9835591801296165,-0.0042613636363636465,-0.005245552289666944
MLP,early30_plus_base,0.9886363636363636,0.9855538296607608,0.9886363636363636,0.985611736794496,0.0,5.790713373521328e-05
RandomForest,early50_only,0.8877840909090909,0.8715052563804219,0.9275568181818182,0.9136523200426132,0.03977272727272729,0.04214706366219134
XGBoost,early50_only,0.8636363636363636,0.8492955466996907,0.8977272727272727,0.883920566335782,0.03409090909090906,0.034625019636091325
