model,feature_set,accuracy,macro_f1
RandomForest,full,0.985795455,0.982388106
XGBoost,full,0.980113636,0.974441499
MLP,full,0.981534091,0.976082831
RandomForest,no_early,0.980113636,0.974613153
XGBoost,no_early,0.991477273,0.988888889
MLP,no_early,0.965909091,0.95728524
RandomForest,early1_only,0.878795455,0.856848505
XGBoost,early1_only,0.865056818,0.845079571
MLP,early1_only,0.847840909,0.815553062
RandomForest,early1_plus_base,0.994318182,0.992564851
XGBoost,early1_plus_base,0.991477273,0.988929587
MLP,early1_plus_base,0.978693182,0.972932331
RandomForest,early2_only,0.879545455,0.85435486
XGBoost,early2_only,0.863636364,0.849217618
MLP,early2_only,0.850056818,0.828275968
RandomForest,early2_plus_base,0.994318182,0.992564851
XGBoost,early2_plus_base,0.990056818,0.98706091
MLP,early2_plus_base,0.977272727,0.97108124
RandomForest,early5_only,0.862272727,0.847760432
XGBoost,early5_only,0.857954545,0.844130704
MLP,early5_only,0.852840909,0.838640734
RandomForest,early5_plus_base,0.994318182,0.992564851
XGBoost,early5_plus_base,0.990056818,0.98706091
MLP,early5_plus_base,0.975852273,0.969323308
RandomForest,early10_only,0.865056818,0.8501488
XGBoost,early10_only,0.860795455,0.846432438
MLP,early10_only,0.863409091,0.832520727
RandomForest,early10_plus_base,0.994318182,0.992564851
XGBoost,early10_plus_base,0.990056818,0.98706091
MLP,early10_plus_base,0.975852273,0.969323308
RandomForest,early20_only,0.886534091,0.841841778
XGBoost,early20_only,0.851704545,0.831518771
MLP,early20_only,0.880681818,0.862825233
RandomForest,early20_plus_base,0.994318182,0.992564851
XGBoost,early20_plus_base,0.984375,0.979813084
MLP,early20_plus_base,0.975852273,0.96942059
RandomForest,early30_only,0.893522727,0.868436479
XGBoost,early30_only,0.887784091,0.872746444
MLP,early30_only,0.897727273,0.878066902
RandomForest,early30_plus_base,0.994318182,0.992564851
XGBoost,early30_plus_base,0.990056818,0.98706091
MLP,early30_plus_base,0.975852273,0.96942059
RandomForest,early50_only,0.876505682,0.849952401
XGBoost,early50_only,0.852272727,0.837742934
MLP,early50_only,0.870738636,0.850255817
RandomForest,early50_plus_base,0.994318182,0.992564851
XGBoost,early50_plus_base,0.988636364,0.985239449
MLP,early50_plus_base,0.978693182,0.972932331
RandomForest,early60_only,0.875653409,0.841060146
XGBoost,early60_only,0.853693182,0.838694825
MLP,early60_only,0.875,0.855069578
RandomForest,early60_plus_base,0.992897727,0.991397161
XGBoost,early60_plus_base,0.990056818,0.98706091
MLP,early60_plus_base,0.977272727,0.971173864
