file,cycles,good,bad,error
2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,18,18,0,
2025-06-11 MSE supplies Gra NMC811 Gen2 2_1_6_2025-06-19 16-25-23_good.xlsx,4,4,0,
2025-06-11 MSE supplies Gra NMC811 Gen2 3_2_2_2025-06-19 16-25-48_good.xlsx,4,4,0,
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,23,23,0,
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-26-11_good.xlsx,4,4,0,
2025-06-11 MSE supplies Gra NMC811 XFC 2_2_4_2025-06-19 16-25-02_bad.xlsx,43,1,42,
2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02_good.xlsx,32,8,24,
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good.xlsx,478,88,390,
2025-06-25 GraSi NMC811 LP57 2_5_6_2025-06-26 12-34-47_good.xlsx,811,5,806,
2025-06-25 GraSi NMC811 LP57 3_5_7_2025-06-26 12-35-11_bad.xlsx,811,5,806,
2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good.xlsx,326,146,180,
2025-06-25 GraSi NMC811 LP57 CPCN 1_6_1_2025-06-25 18-08-00_bad.xlsx,18,7,11,
2025-06-25 GraSi NMC811 LP57 CPCN 2_6_2_2025-06-25 18-08-00_bad.xlsx,185,0,185,
2025-06-25 GraSi NMC811 LP57 CPCN 3_6_3_2025-06-25 18-08-00_bad.xlsx,205,0,205,
2025-06-25 GraSi NMC811 LP57 CPCN 4_6_4_2025-06-25 18-08-00_bad.xlsx,0,0,0,'Cycle'
2025-06-25 GraSi NMC811 LP57 CPCN 5_6_4_2025-06-25 18-08-00_good.xlsx,0,0,0,'Cycle'
2025-06-25 GraSi NMC811 LP57 DFEC 1_6_1_2025-06-25 18-08-00_bad.xlsx,607,13,594,
2025-06-25 GraSi NMC811 LP57 DFEC 2_6_2_2025-06-25 18-08-00_good.xlsx,318,48,270,
2025-06-25 GraSi NMC811 LP57 DFEC 3_6_3_2025-06-25 18-08-00_bad.xlsx,443,47,396,
2025-06-25 GraSi NMC811 LP57 LiDFP 1_6_4_2025-06-25 18-08-00_bad.xlsx,811,16,795,
2025-06-25 GraSi NMC811 LP57 LiDFP 2_6_5_2025-06-25 18-08-00_bad.xlsx,19,9,10,
2025-06-25 GraSi NMC811 LP57 LiDFP 3_6_6_2025-06-25 18-08-00_good.xlsx,274,84,190,
2025-06-25 GraSi NMC811 LP57 TXFC 1_4_6_2025-07-03 17-09-36_bad.xlsx,0,0,0,'Cycle'
2025-06-25 GraSi NMC811 LP57 TXFC 2_8_7_2025-07-03 17-10-45_bad.xlsx,4,0,4,
2025-06-25 GraSi NMC811 LP57 TXFC 3_8_8_2025-07-03 17-11-01_bad.xlsx,4,0,4,
2025-06-25 GraSi NMC811 LP57 XFC15 1_6_7_2025-06-25 18-08-00_bad.xlsx,811,54,757,
2025-06-25 GraSi NMC811 LP57 XFC15 2_6_8_2025-06-25 18-08-00_good.xlsx,255,149,106,
2025-06-25 GraSi NMC811 LP57 XFC15 3_4_5_2025-07-03 17-09-08_bad.xlsx,10,1,9,
