Cycle,cycles,hard_fail_cnt,soft_fail_cnt,both_fail_cnt,pct_hard_fail,pct_soft_fail,pct_both_fail
4,74,25,41,18,33.78,55.41,24.32
5,74,17,41,15,22.97,55.41,20.27
6,74,18,44,16,24.32,59.46,21.62
7,73,24,46,22,32.88,63.01,30.14
8,68,21,46,20,30.88,67.65,29.41
9,66,26,47,24,39.39,71.21,36.36
10,66,26,47,24,39.39,71.21,36.36
11,65,30,50,30,46.15,76.92,46.15
12,64,31,48,31,48.44,75.0,48.44
13,64,34,47,34,53.12,73.44,53.12
14,62,31,47,30,50.0,75.81,48.39
15,61,34,46,33,55.74,75.41,54.1
16,59,32,45,31,54.24,76.27,52.54
17,57,38,44,37,66.67,77.19,64.91
18,53,35,41,35,66.04,77.36,66.04
19,52,34,40,34,65.38,76.92,65.38
20,52,34,40,34,65.38,76.92,65.38
21,52,35,40,35,67.31,76.92,67.31
22,50,34,39,34,68.0,78.0,68.0
23,49,34,39,34,69.39,79.59,69.39
24,48,33,38,33,68.75,79.17,68.75
25,48,33,38,33,68.75,79.17,68.75
26,47,31,37,31,65.96,78.72,65.96
27,46,31,38,31,67.39,82.61,67.39
28,46,32,38,32,69.57,82.61,69.57
29,46,32,39,32,69.57,84.78,69.57
30,46,31,39,31,67.39,84.78,67.39
31,46,31,39,31,67.39,84.78,67.39
32,45,31,38,31,68.89,84.44,68.89
33,45,30,38,30,66.67,84.44,66.67
34,45,32,38,32,71.11,84.44,71.11
35,45,32,38,32,71.11,84.44,71.11
36,44,30,37,30,68.18,84.09,68.18
37,44,31,37,31,70.45,84.09,70.45
38,44,30,37,30,68.18,84.09,68.18
39,44,30,37,30,68.18,84.09,68.18
40,42,31,37,31,73.81,88.1,73.81
41,42,30,37,30,71.43,88.1,71.43
42,40,30,37,30,75.0,92.5,75.0
43,40,30,37,30,75.0,92.5,75.0
44,39,29,37,29,74.36,94.87,74.36
45,38,29,36,29,76.32,94.74,76.32
46,37,29,35,29,78.38,94.59,78.38
47,35,28,33,28,80.0,94.29,80.0
48,35,29,33,29,82.86,94.29,82.86
49,35,30,33,30,85.71,94.29,85.71
50,35,30,33,30,85.71,94.29,85.71
51,35,30,33,30,85.71,94.29,85.71
52,34,29,32,29,85.29,94.12,85.29
53,34,29,32,29,85.29,94.12,85.29
54,34,29,32,29,85.29,94.12,85.29
55,34,29,32,29,85.29,94.12,85.29
56,34,30,32,30,88.24,94.12,88.24
57,34,30,32,30,88.24,94.12,88.24
58,34,28,32,28,82.35,94.12,82.35
59,34,29,32,29,85.29,94.12,85.29
60,34,28,32,28,82.35,94.12,82.35
61,34,29,32,29,85.29,94.12,85.29
62,34,29,32,29,85.29,94.12,85.29
63,34,29,32,29,85.29,94.12,85.29
64,34,29,32,29,85.29,94.12,85.29
65,34,29,32,29,85.29,94.12,85.29
66,34,29,32,29,85.29,94.12,85.29
67,34,30,32,30,88.24,94.12,88.24
68,33,29,31,29,87.88,93.94,87.88
69,33,29,31,29,87.88,93.94,87.88
70,33,29,31,29,87.88,93.94,87.88
71,33,29,31,29,87.88,93.94,87.88
72,33,30,31,30,90.91,93.94,90.91
73,33,30,31,30,90.91,93.94,90.91
74,33,30,31,30,90.91,93.94,90.91
75,33,30,31,30,90.91,93.94,90.91
76,33,30,31,30,90.91,93.94,90.91
77,33,30,31,30,90.91,93.94,90.91
78,33,30,31,30,90.91,93.94,90.91
79,33,30,31,30,90.91,93.94,90.91
80,33,30,31,30,90.91,93.94,90.91
81,33,30,31,30,90.91,93.94,90.91
82,33,30,31,30,90.91,93.94,90.91
83,33,30,31,30,90.91,93.94,90.91
84,33,30,31,30,90.91,93.94,90.91
85,33,30,31,30,90.91,93.94,90.91
86,33,30,31,30,90.91,93.94,90.91
87,33,30,31,30,90.91,93.94,90.91
88,33,30,31,30,90.91,93.94,90.91
89,33,31,31,31,93.94,93.94,93.94
90,33,31,31,31,93.94,93.94,93.94
91,33,31,31,31,93.94,93.94,93.94
92,33,31,31,31,93.94,93.94,93.94
93,33,31,31,31,93.94,93.94,93.94
94,33,31,31,31,93.94,93.94,93.94
95,33,31,31,31,93.94,93.94,93.94
96,33,31,31,31,93.94,93.94,93.94
97,33,31,31,31,93.94,93.94,93.94
98,33,31,31,31,93.94,93.94,93.94
99,33,31,31,31,93.94,93.94,93.94
100,33,31,31,31,93.94,93.94,93.94
101,33,31,31,31,93.94,93.94,93.94
102,33,31,31,31,93.94,93.94,93.94
103,33,31,31,31,93.94,93.94,93.94
104,33,31,31,31,93.94,93.94,93.94
105,33,31,31,31,93.94,93.94,93.94
106,32,30,31,30,93.75,96.88,93.75
107,32,30,31,30,93.75,96.88,93.75
108,32,30,31,30,93.75,96.88,93.75
109,32,30,31,30,93.75,96.88,93.75
110,32,30,31,30,93.75,96.88,93.75
111,32,30,31,30,93.75,96.88,93.75
112,32,30,31,30,93.75,96.88,93.75
113,32,30,31,30,93.75,96.88,93.75
114,32,30,31,30,93.75,96.88,93.75
115,32,30,31,30,93.75,96.88,93.75
116,32,30,31,30,93.75,96.88,93.75
117,32,30,31,30,93.75,96.88,93.75
118,32,30,31,30,93.75,96.88,93.75
119,32,30,31,30,93.75,96.88,93.75
120,32,30,31,30,93.75,96.88,93.75
121,32,30,31,30,93.75,96.88,93.75
122,31,29,30,29,93.55,96.77,93.55
123,31,29,30,29,93.55,96.77,93.55
124,30,28,29,28,93.33,96.67,93.33
125,30,28,29,28,93.33,96.67,93.33
126,30,28,29,28,93.33,96.67,93.33
