file,cycles,pass_ChgSpec,pass_DChgSpec,pass_IRproxy,pass_CEdev,pass_All,pct_pass_ChgSpec,pct_pass_DChgSpec,pct_pass_IRproxy,pct_pass_CEdev,pct_pass_All
2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good_labeled.xlsx,18,0,18,18,7,0,0.0,100.0,100.0,38.89,0.0
2025-06-11 MSE supplies Gra NMC811 Gen2 2_1_6_2025-06-19 16-25-23_good_labeled.xlsx,4,0,4,4,0,0,0.0,100.0,100.0,0.0,0.0
2025-06-11 MSE supplies Gra NMC811 Gen2 3_2_2_2025-06-19 16-25-48_good_labeled.xlsx,4,0,4,4,0,0,0.0,100.0,100.0,0.0,0.0
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good_labeled.xlsx,23,20,7,23,1,0,86.96,30.43,100.0,4.35,0.0
2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-26-11_good_labeled.xlsx,4,1,3,4,0,0,25.0,75.0,100.0,0.0,0.0
2025-06-11 MSE supplies Gra NMC811 XFC 2_2_4_2025-06-19 16-25-02_bad_labeled.xlsx,43,41,0,0,0,0,95.35,0.0,0.0,0.0,0.0
2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02_good_labeled.xlsx,32,30,1,10,0,0,93.75,3.12,31.25,0.0,0.0
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled.xlsx,478,473,7,7,245,0,98.95,1.46,1.46,51.26,0.0
2025-06-25 GraSi NMC811 LP57 2_5_6_2025-06-26 12-34-47_good_labeled.xlsx,811,811,0,10,466,0,100.0,0.0,1.23,57.46,0.0
2025-06-25 GraSi NMC811 LP57 3_5_7_2025-06-26 12-35-11_bad_labeled.xlsx,811,809,0,8,475,0,99.75,0.0,0.99,58.57,0.0
2025-06-25 GraSi NMC811 LP57 4_5_8_2025-06-26 12-36-09_good_labeled.xlsx,326,259,77,180,234,10,79.45,23.62,55.21,71.78,3.07
2025-06-25 GraSi NMC811 LP57 CPCN 1_6_1_2025-06-25 18-08-00_bad_labeled.xlsx,18,13,1,0,0,0,72.22,5.56,0.0,0.0,0.0
2025-06-25 GraSi NMC811 LP57 CPCN 2_6_2_2025-06-25 18-08-00_bad_labeled.xlsx,185,183,0,0,67,0,98.92,0.0,0.0,36.22,0.0
2025-06-25 GraSi NMC811 LP57 CPCN 3_6_3_2025-06-25 18-08-00_bad_labeled.xlsx,205,204,0,0,3,0,99.51,0.0,0.0,1.46,0.0
2025-06-25 GraSi NMC811 LP57 DFEC 1_6_1_2025-06-25 18-08-00_bad_labeled.xlsx,607,604,3,7,349,0,99.51,0.49,1.15,57.5,0.0
2025-06-25 GraSi NMC811 LP57 DFEC 2_6_2_2025-06-25 18-08-00_good_labeled.xlsx,318,317,1,3,253,0,99.69,0.31,0.94,79.56,0.0
2025-06-25 GraSi NMC811 LP57 DFEC 3_6_3_2025-06-25 18-08-00_bad_labeled.xlsx,443,420,24,28,241,0,94.81,5.42,6.32,54.4,0.0
2025-06-25 GraSi NMC811 LP57 LiDFP 1_6_4_2025-06-25 18-08-00_bad_labeled.xlsx,811,806,6,9,297,1,99.38,0.74,1.11,36.62,0.12
2025-06-25 GraSi NMC811 LP57 LiDFP 2_6_5_2025-06-25 18-08-00_bad_labeled.xlsx,19,13,1,0,0,0,68.42,5.26,0.0,0.0,0.0
2025-06-25 GraSi NMC811 LP57 LiDFP 3_6_6_2025-06-25 18-08-00_good_labeled.xlsx,274,260,15,13,241,0,94.89,5.47,4.74,87.96,0.0
2025-06-25 GraSi NMC811 LP57 TXFC 2_8_7_2025-07-03 17-10-45_bad_labeled.xlsx,4,4,0,0,0,0,100.0,0.0,0.0,0.0,0.0
2025-06-25 GraSi NMC811 LP57 TXFC 3_8_8_2025-07-03 17-11-01_bad_labeled.xlsx,4,4,0,0,0,0,100.0,0.0,0.0,0.0,0.0
2025-06-25 GraSi NMC811 LP57 XFC15 1_6_7_2025-06-25 18-08-00_bad_labeled.xlsx,811,762,46,39,150,0,93.96,5.67,4.81,18.5,0.0
2025-06-25 GraSi NMC811 LP57 XFC15 2_6_8_2025-06-25 18-08-00_good_labeled.xlsx,255,153,112,167,168,10,60.0,43.92,65.49,65.88,3.92
2025-06-25 GraSi NMC811 LP57 XFC15 3_4_5_2025-07-03 17-09-08_bad_labeled.xlsx,10,1,4,0,0,0,10.0,40.0,0.0,0.0,0.0
2025-06-25 GraSi NMC811 XFC-1 1_6_5_2025-06-25 18-08-00_bad_labeled.xlsx,201,195,0,0,93,0,97.01,0.0,0.0,46.27,0.0
2025-06-25 GraSi NMC811 XFC-1 2_6_6_2025-06-25 18-08-00_bad_labeled.xlsx,118,116,0,0,3,0,98.31,0.0,0.0,2.54,0.0
2025-06-25 GraSi NMC811 XFC-1 3_6_7_2025-06-25 18-08-00_bad_labeled.xlsx,146,145,1,0,3,0,99.32,0.68,0.0,2.05,0.0
2025-06-25 GraSi NMC811 XFC-1 4_6_8_2025-06-25 18-08-00_bad_labeled.xlsx,201,200,0,0,56,0,99.5,0.0,0.0,27.86,0.0
